node_id,smiles,name,compound_class,source_db,label,feat_mw,feat_logp,feat_hbd,feat_hba,feat_tpsa,feat_rb,feat_natoms,feat_nrings,feat_naromatic,feat_fp128
NP_C_0,O=C1c2c(O)cc3c(c2OCC1c1cc2OCOc2cc1O)C=CC(O3)(C)C,Discoloranone A,,NPASS 3.0,1,,,,,,,,,,
NP_C_1,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc2c(c1)C(O)C(C(O2)(C)C)O,"(2S)-3',4',5,7-Tetrahydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_2,OCC(=C)[C@@H]1Oc2c(C1)c1O[C@@H]3COc4c([C@@H]3C(=O)c1cc2)cc(c(c4)OC)OC,Amorphigenin,,NPASS 3.0,1,,,,,,,,,,
NP_C_3,CC(=CCc1c2C=CC(C)(C)Oc2c(cc1[C@@H]1CC(=O)c2c(cc(cc2O1)O)O)O)C,"(S)-5,7,8'-Trihydroxy-2',2'-Dimethyl-5'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_4,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(c(cc4[C@@]2(C3=O)O)OC)OC)O1,Dabinol,,NPASS 3.0,1,,,,,,,,,,
NP_C_5,CC1(C(CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)OC)O)C,"(2S)-3',5,7-Trihydroxy-8'-Methoxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_6,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc2C=CC(Oc2c2c1C=CC(O2)(C)C)(C)C,"(S)-5,7-Dihydroxy-2-(2,2,9,9-Tetramethyl-2,9-Dihydropyrano[3,2-H]Chromen-5-Yl)Chroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_7,COc1c(CC=C(C)C)cc(cc1/C=C/C(O)(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,Burttinone,,NPASS 3.0,1,,,,,,,,,,
NP_C_8,CC1(C=CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)O)CO,"(2S)-5,7,8'-Trihydroxy-2'-(Hydroxymethyl)-2'-Methyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_9,CC1(C2C(C(C(OC2=C(C(=C1C3CC(=O)C4=CC=CC=C4O3)O)O)O)O)O)C,Sigmoidin G,,NPASS 3.0,1,,,,,,,,,,
NP_C_10,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1cc(O)c2c(c1)C(=O)CC(O2)(C)C,"(S)-5,7,8'-Trihydroxy-2',2'-Dimethyl-2,6'-Bichroman-4,4'-Dione",,NPASS 3.0,1,,,,,,,,,,
NP_C_11,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](C(C)(C)[C@@H]5CC[C@@]34C)O)[C@@H]2[C@H]1C)C(=O)O,Ursolic Acid,,NPASS 3.0,1,,,,,,,,,,
NP_C_12,COc1ccc(c(c1O)O)[C@H]1COc2c(C1=O)c(O)cc1c2C=CC(O1)(C)CCC=C(C)C,Discoloranone,,NPASS 3.0,1,,,,,,,,,,
NP_C_13,CC1(C=CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(C=C(C=C4O3)O)O)OC)CO,"(2S)-5,7-Dihydroxy-2'-(Hydroxymethyl)-8'-Methoxy-2'-Methyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_14,CC(=CC[C@]12C[C@H](CC=C(C)C)[C@@]([C@@](C2=O)(C(=O)C(=C1O)C(=O)c1ccc(c(c1)O)O)CC=C(C)C)(C)CCC=C(C)C)C,Guttiferone A,,NPASS 3.0,1,,,,,,,,,,
NP_C_15,C[C@@]12C[C@H]3[C@]4(O3)[C@]([C@@]15[C@H](O5)C[C@H]2C6=CC(OC6=O)O)(C=C7[C@@H]8[C@@]4(C(=O)C=C[C@]8(CO7)C)C)C,Trichirubine A,,NPASS 3.0,1,,,,,,,,,,
NP_C_16,COc1ccc(c(c1O)O)[C@H]1COc2c(C1)ccc1c2C=CC(O1)(C)CCC=C(C)C,Nitidulin,,NPASS 3.0,1,,,,,,,,,,
NP_C_17,CC1(C)C=Cc2c(cc3c(c2O)C(=O)[C@H](CO3)c2cc3c(cc2O)OCO3)O1,(3S)-Isodiscoloranone A,,NPASS 3.0,1,,,,,,,,,,
NP_C_18,CC1(C(CC2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(O3)C=C(C=C4)O)O)O)C,"(2S)-3',7,8'-Trihydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_19,CC(=CCC1=C2C(=CC(=C1)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C(C(C(O2)(C)C)O)O)C,"(2S)-3',4',5,7-Tetrahydroxy-2',2'-Dimethyl-8'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_20,CC1(C)C=Cc2c3c(cc(c2O1)O)[C@@H]1[C@H](CO3)c2cc3c(cc2O1)OCO3,JEDDWGYBFZMEOV-BFUOFWGJSA-N,,NPASS 3.0,1,,,,,,,,,,
NP_C_21,CC1(C)[C@H](Cc2cc(cc(c2O1)O)[C@@H]1CC(=O)c2c(cc(cc2O1)O)O)O,Sigmoidin D,,NPASS 3.0,1,,,,,,,,,,
NP_C_22,CC(=CCC1=C(C2=C(C=C1C3CC(=O)C4=C(C=C(C=C4O3)O)O)C(C(C(O2)(C)C)O)O)O)C,"(2S)-3',4',5,7,8'-Pentahydroxy-2',2'-Dimethyl-7'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_23,COc1c(CC=C(C)C)cc(cc1/C=C/C(=C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,Burttinonedehydrate,,NPASS 3.0,1,,,,,,,,,,
NP_C_24,CC1(C(C(C2=C(O1)C(=CC(=C2)C3CC(=O)C4=C(O3)C=C(C=C4)O)O)O)O)C,"(2S)-3',4',7,8'-Tetrahydroxy-2',2'-Dimethyl-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_25,CC(=CCC1=CC(=CC2=C1OC(C(C2)O)(C)C)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C,"(2S)-3',5,7-Trihydroxy-2',2'-Dimethyl-8'-(3-Methylbut-2-Enyl)-2,6'-Bichroman-4-One",,NPASS 3.0,1,,,,,,,,,,
NP_C_26,CC1(C)C=Cc2c(ccc3C[C@@](COc23)(c2ccc(cc2O)OC)O)O1,"(3S)-3-(2-Hydroxy-4-Methoxyphenyl)-8,8-Dimethyl-2,4-Dihydropyrano[2,3-F]Chromen-3-Ol",,NPASS 3.0,1,,,,,,,,,,
NP_C_27,COc1ccc(c(c1O)O)[C@H]1COc2c(C1=O)c(O)c1c(c2)OC(C=C1)(C)CCC=C(C)C,(3S)-Isodiscoloranone B,,NPASS 3.0,1,,,,,,,,,,
NP_C_28,C[C@@]12C[C@H]3[C@@]4(O3)[C@@]5([C@H]6[C@H]([C@H]([C@]4(C1=CC[C@H]2C7=CC(OC7=O)O)C)OC(=O)C8=CC=CC=C8)OC[C@@]6(C=CC5=O)C)C,Trichirubine B,,NPASS 3.0,1,,,,,,,,,,
